agency,department,county,service_category,naics_code,typical_contract_term,renewal_options,estimated_cycle_frequency,last_known_award,next_estimated_rebid,estimated_value_range,set_aside_eligibility,portal,action_priority,notes
Sacramento County,DGS CAPSD Procurement,Sacramento,Janitorial Services - 56 Facilities,561720,1 year base,6 annual renewals,Annual (base) then up to 7 years total,2026-09-01 (anticipated),2027-09-01 (if no renewal),"$5M-$15M",None - open competition,https://procurement.opengov.com/portal/saccounty,CRITICAL,Monitor for award; position for subcontracting or Year 2 rebid
Alameda County,GSA Building Maintenance Dept,Alameda,Grounds Maintenance - Pioneer Cemetery,561730,3 years,2-year extension,Every 3-5 years,2023-05-17,2028-05-31 (current extension),"$70K-$120K",SLEB preferred,https://gsa.acgov.org/do-business-with-us/contracting-opportunities/,MEDIUM,Incumbent cert expires 11/2026; monitor for rebid trigger
Alameda County,GSA Building Maintenance Dept,Alameda,Waste and Environmental Services,562910,Unknown,Unknown,Unknown,2025-07-22 (Costera award),Unknown,"$430K+",Unknown,https://gsa.acgov.org/do-business-with-us/contracting-opportunities/,HIGH,Submit PRA request for contract details and expiration
Alameda County,GSA Building Maintenance Dept,Alameda,Janitorial Services - 182 Facilities,561720,Unknown,Unknown,Unknown,Unknown,Unknown,"$1M-$5M est.",SLEB preferred,https://gsa.acgov.org/do-business-with-us/contracting-opportunities/,CRITICAL,182 facilities = major opportunity; research incumbent immediately
California Highway Patrol,Facilities Division,Statewide,Janitorial Services - CHP Offices,561720,1-3 years,Annual renewals typical,Annual,2026-05-18 (IFB 26C440002 closing),2027-2028 estimated,"$50K-$500K per district",SB/DVBE eligible,https://caleprocure.ca.gov,HIGH,CHP has multiple area offices in NorCal; recurring annual pattern
Employment Development Department,Facilities Management,Statewide,On-Call Janitorial Services,561720,1-3 years,Annual renewals typical,Annual,2026 (IFB 126572 - Notice of Intent),2027-2028 estimated,"$100K-$1M",SB/DVBE eligible,https://caleprocure.ca.gov,HIGH,On-call structure means multiple vendors can hold contracts simultaneously
Employment Development Department,Facilities Management,Statewide,Landscaping Services,561730,1-3 years,Annual renewals typical,Annual,2026 (IFB 126201 closing),2027-2028 estimated,"$50K-$300K",SB/DVBE eligible,https://caleprocure.ca.gov,MEDIUM,Grounds maintenance adjacent to debris/cleanup services
Contra Costa County,General Services Purchasing,Contra Costa,Facility Maintenance Services,561210,Unknown,Unknown,Unknown,Unknown,Unknown,"$100K-$2M est.",SBE preferred,https://www.bidnetdirect.com/california/contracostacounty,HIGH,Register on BidNet Direct; contact SBE liaisons
Solano County,General Services Purchasing,Solano,Janitorial / Facility Services,561720,Unknown,Unknown,Unknown,Unknown,Unknown,"$50K-$500K est.",Unknown,https://www.solanocounty.gov/government/general-services/bidsrfps,HIGH,Register immediately; Solano covers Vallejo/Fairfield/Vacaville
San Joaquin County,Purchasing and Support Services,San Joaquin,Waste Hauling / Facility Maintenance,562111,Unknown,Unknown,Unknown,Unknown,Unknown,"$50K-$500K est.",Unknown,https://www.publicpurchase.com,HIGH,Register on Public Purchase; check Capital Projects and Public Works separately
California DGS,Statewide Contracts,Statewide,Janitorial - Leveraged Procurement Agreements,561720,3-5 years,Multiple renewals,Every 3-5 years,Ongoing,Ongoing,"$1M-$50M statewide",SB/DVBE set-asides,https://www.dgs.ca.gov/PD/About/Page-Content/PD-Branch-Intro-Accordion-List/Acquisitions/Statewide-Contracts,MEDIUM,Statewide contracts allow any state agency to order; becoming an approved vendor creates recurring revenue
