lead_id,company_name,sector,city,county,state,address,phone,email,website,linkedin,owner_name,decision_maker_role,company_size_estimate,local_footprint,operational_status,pain_points,likely_subcontracting_needs,technology_weakness,buying_trigger,lead_quality_score,urgency_score,estimated_contract_value,outreach_angle,best_first_contact,follow_up_cadence,notes,status,assigned_to
SC-0001,[Research Required] Property Management Company 1 — Vallejo,Property Management,Vallejo,Solano County,CA,"[Research Required] Vallejo, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,LinkedIn connection + personalized message,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0002,[Research Required] Property Management Company 2 — Vallejo,Property Management,Vallejo,Solano County,CA,"[Research Required] Vallejo, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,Cold email with market insight attachment,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0003,[Research Required] Property Management Company 3 — Vallejo,Property Management,Vallejo,Solano County,CA,"[Research Required] Vallejo, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,Cold email with market insight attachment,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0004,[Research Required] Property Management Company 1 — Benicia,Property Management,Benicia,Solano County,CA,"[Research Required] Benicia, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,LinkedIn connection + personalized message,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0005,[Research Required] Property Management Company 2 — Benicia,Property Management,Benicia,Solano County,CA,"[Research Required] Benicia, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,Cold email with market insight attachment,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0006,[Research Required] Property Management Company 3 — Benicia,Property Management,Benicia,Solano County,CA,"[Research Required] Benicia, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,Cold email with market insight attachment,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0007,[Research Required] Property Management Company 1 — Fairfield,Property Management,Fairfield,Solano County,CA,"[Research Required] Fairfield, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,LinkedIn connection + personalized message,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0008,[Research Required] Property Management Company 2 — Fairfield,Property Management,Fairfield,Solano County,CA,"[Research Required] Fairfield, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,Cold email with market insight attachment,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0009,[Research Required] Property Management Company 3 — Fairfield,Property Management,Fairfield,Solano County,CA,"[Research Required] Fairfield, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Single-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,Cold email with market insight attachment,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0010,[Research Required] Property Management Company 1 — Vacaville,Property Management,Vacaville,Solano County,CA,"[Research Required] Vacaville, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Multi-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,LinkedIn connection + personalized message,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
SC-0011,[Research Required] Property Management Company 2 — Vacaville,Property Management,Vacaville,Solano County,CA,"[Research Required] Vacaville, CA",[Research Required],[Research Required],[Research Required],[Research Required],[Research Required],Owner / Operations Director,5-50 employees,Multi-location,Active — Verify,"Contractor reliability, documentation gaps, compliance exposure","Project management, compliance documentation, AI automation","Manual processes, spreadsheet-based tracking, no CRM","Compliance violation, growth phase, contractor failure, audit",8,5,"$8,000 - $35,000/yr",Lead with compliance risk and contractor verification protocol,Cold email with market insight attachment,Day 1: Initial outreach | Day 4: Follow-up | Day 10: Value-add | Day 21: Check-in,Verify existence and contact info before outreach,Uncontacted,Arthur F. Appling Sr.
