agency_name,department,county,procurement_portal,portal_url,purchasing_phone,purchasing_email,sb_dvbe_advocate,advocate_email,advocate_phone,bid_id,contract_title,service_category,naics_code,unspsc_code,status,posted_date,deadline,estimated_value,contract_term,renewal_options,set_aside,geographic_relevance,subcontracting_indicators,source_url,notes
Sacramento County,Department of General Services - CAPSD Procurement,Sacramento,OpenGov eProcurement,https://procurement.opengov.com/portal/saccounty,916-875-6060,purchasing@saccounty.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,2026-RFP-0003,Janitorial Services for County Facilities,Janitorial Services,561720,76111501,PAST DUE - Award Pending,2026-02-17,2026-03-18,"$5,000,000 - $15,000,000 (AI estimate)",1 year base + 6 optional 1-year renewals,6 annual renewals at county discretion,None specified - open competition,Sacramento County - 56 locations,High - 56 locations likely require subcontractors for specialty areas,https://www.highergov.com/sl/contract-opportunity/ca-janitorial-services-62490073/,Award anticipated September 1 2026; requires $10k theft bond; live scan fingerprint for secured facilities
California Highway Patrol,Procurement Division,Statewide,Cal eProcure,https://caleprocure.ca.gov,916-843-3000,chp.procurement@chp.ca.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,0000038586,Janitorial Services – IFB 26C440002,Janitorial Services,561720,76111501,ACTIVE - CLOSING SOON,2026-05-01,2026-05-18,TBD,TBD,TBD,None specified,Statewide - CHP facilities,Moderate,https://caleprocure.ca.gov,Due May 18 2026 - URGENT
Employment Development Department,Facilities Management,Statewide,Cal eProcure,https://caleprocure.ca.gov,916-654-7000,edd.procurement@edd.ca.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,0000038807,On-Call Janitorial Services – IFB No. 126572,Janitorial Services,561720,76111501,NOTICE OF INTENT TO AWARD,2026-04-01,2026-05-18,TBD,TBD,TBD,None specified,Statewide - EDD offices,Moderate,https://caleprocure.ca.gov,Notice of Intent to Award posted - monitor for award details
Employment Development Department,Facilities Management,Statewide,Cal eProcure,https://caleprocure.ca.gov,916-654-7000,edd.procurement@edd.ca.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,0000038860,Landscaping Services – IFB No. 126201,Landscaping / Grounds,561730,76111501,ACTIVE - CLOSING SOON,2026-04-15,2026-05-18,TBD,TBD,TBD,None specified,Statewide - EDD offices,Low,https://caleprocure.ca.gov,Closing May 18 2026
California Highway Patrol,Facilities Division,Napa County,Cal eProcure,https://caleprocure.ca.gov,916-843-3000,chp.procurement@chp.ca.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,0000038865,CHP Napa Air Ops – Roof Maintenance – IFB 26C314000,Facility Maintenance,561210,72101500,ACTIVE,2026-04-20,2026-05-19,TBD,TBD,TBD,None specified,Napa County,Low,https://caleprocure.ca.gov,Roof maintenance - adjacent to target region
California Highway Patrol,Facilities Division,Statewide,Cal eProcure,https://caleprocure.ca.gov,916-843-3000,chp.procurement@chp.ca.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,0000039086,CHP Cache Creek and Keene Platform Scales – Parking Lot Steam Cleaning Services,Facility Maintenance / Cleaning,561720,76111501,ACTIVE,2026-04-25,2026-05-19,TBD,TBD,TBD,None specified,Statewide,Moderate,https://caleprocure.ca.gov,Steam cleaning services - relevant to Prime Pathwy capabilities
Department of Fish and Wildlife,Facilities Division,Statewide,Cal eProcure,https://caleprocure.ca.gov,916-445-0411,dfwprocurement@wildlife.ca.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,0000039155,Wildlife Areas Portable Toilets Rentals and Servicing,Waste / Sanitation Services,562991,76111501,ACTIVE - CLOSING SOON,2026-04-25,2026-05-18,TBD,TBD,TBD,None specified,Statewide - Wildlife areas,Low,https://caleprocure.ca.gov,Portable toilet servicing - adjacent service line
Department of Fish and Wildlife,Facilities Division,Statewide,Cal eProcure,https://caleprocure.ca.gov,916-445-0411,dfwprocurement@wildlife.ca.gov,TBD - Contact DGS OSDS,advocate@dgs.ca.gov,916-375-4940,0000038970,Hallelujah Junction Wildlife Area Dumpsite Environmental Testing,Environmental Services,562910,77101500,ACTIVE - CLOSING SOON,2026-04-20,2026-05-18,TBD,TBD,TBD,None specified,Northern California,High - environmental remediation,https://caleprocure.ca.gov,Environmental testing for dumpsite - strong alignment with debris/environmental services
Alameda County,General Services Agency - Building Maintenance Dept,Alameda,OpenGov / County Portal,https://gsa.acgov.org/do-business-with-us/contracting-opportunities/,510-208-9700,gsa@acgov.org,Detra Dillon (Procurement Administrator),detra.dillon@acgov.org,510-208-9700,MC-902255,Pioneer Cemetery Grounds Maintenance (Amendment 1),Grounds Maintenance / Debris Removal,561730,76111501,ACTIVE - EXTENDED,2023-05-17,2028-05-31,$117,404 total,5 years (amended),N/A - currently extended,SLEB (Small Local Emerging Business) preferred,Alameda County - San Lorenzo,High - SLEB certification advantageous,https://www.alamedacountyca.gov/board/bos_calendar/documents/DocsAgendaReg_10_14_25/GENERAL%20ADMINISTRATION/Regular%20Calendar/GSA_393840.pdf,Incumbent: Pacheco Landscape Management (SLEB Certified Emerging 19-00091 exp 11/30/2026). Monitor for rebid when incumbent cert expires.
Contra Costa County,Public Works Department,Contra Costa,BidNet Direct,https://www.bidnetdirect.com/california/contracostacounty,925-313-2000,pw@contracosta.ca.gov,Carrie Ricci (Public Works SBE Liaison),Carrie.Ricci@pw.cccounty.us,925-313-2235,TBD,Facility Maintenance Services (Monitor),Facility Maintenance,561210,72101500,MONITOR - No active bid,N/A,N/A,TBD,TBD,TBD,SBE preferred,Contra Costa County,High,https://www.contracosta.ca.gov/9829/Purchasing-Services,Register on BidNet Direct to receive notifications; SBE outreach liaisons identified
