Region,AI & Automation Consulting,Accounting & Financial Services,Commercial Hauling & Debris Removal,Construction & General Contracting,Electrical Contracting,Environmental Compliance & Remediation,Fleet Logistics & Transportation,HVAC & Mechanical Services,Healthcare Facility Services,IT Infrastructure & Managed Services,Industrial Painting & Coatings,Janitorial & Facilities Maintenance,Landscaping & Grounds Maintenance,Legal & Compliance Services,Marketing & Digital Services,Pest Control & Sanitation,Plumbing & Water Systems,Records Management & Digitization,Security Services & Guard Staffing,Staffing & Workforce Solutions
Alameda County,5,3,5,4,6,3,6,5,4,3,5,4,4,1,3,3,3,5,2,4
Calgary Region,1,5,3,3,8,7,2,7,4,8,2,2,2,2,2,5,5,1,4,2
Contra Costa County,3,8,3,3,2,5,1,6,7,6,5,8,4,8,1,3,2,6,6,3
Cook County,3,7,3,0,7,2,3,3,5,4,3,4,6,3,5,3,4,5,3,4
Cuyahoga County,3,5,7,2,3,2,4,4,4,3,4,5,4,2,1,7,2,3,2,3
Denver County,4,3,4,2,1,8,2,2,5,3,3,4,6,1,2,7,4,5,7,7
Fulton County,5,5,6,2,4,4,2,3,5,8,4,1,3,6,5,5,5,6,1,7
Greater London,2,6,4,7,2,5,4,1,2,3,0,1,3,3,4,5,4,4,3,2
Greater Melbourne,4,5,3,0,4,4,3,3,1,4,4,5,2,5,7,0,3,5,4,3
Greater Sydney,4,1,2,6,4,3,5,3,3,3,8,4,3,7,4,6,3,0,9,5
Greater Toronto Area,3,0,2,8,6,5,10,7,3,4,6,4,3,6,2,2,5,2,7,1
Harris County,4,2,4,2,6,2,3,4,3,5,4,3,6,2,2,2,6,5,3,4
King County,2,3,0,4,2,1,4,3,1,5,5,1,5,6,2,5,5,1,0,1
Los Angeles County,2,2,4,5,1,2,2,7,2,2,3,3,3,5,6,2,3,4,2,3
Maricopa County,6,5,3,2,1,3,4,3,2,8,5,4,4,0,5,4,4,4,6,6
Marin County,8,3,1,6,1,3,2,1,5,1,2,3,4,4,5,3,5,6,2,6
Metro Vancouver,1,6,8,5,1,2,9,1,4,3,7,4,7,2,7,4,6,3,3,3
Miami-Dade County,5,2,7,6,1,8,4,4,3,1,3,6,1,3,4,3,4,7,4,6
Napa County,3,2,5,3,5,3,3,2,5,3,1,2,4,4,3,4,6,5,1,2
Orange County,8,3,1,3,2,2,3,9,1,2,4,3,3,2,3,2,2,3,1,6
Sacramento County,6,3,4,4,6,6,4,0,5,2,5,3,1,5,6,3,3,3,3,2
San Diego County,2,3,1,3,7,2,2,6,4,3,3,2,5,4,4,4,4,3,2,1
San Francisco County,3,2,3,4,5,3,4,3,3,2,2,3,3,4,6,4,3,4,2,4
Solano County,4,5,5,3,2,4,1,5,8,2,5,6,5,2,4,3,2,5,4,4
Sonoma County,4,2,2,8,3,2,5,4,0,4,1,4,3,5,3,7,1,2,3,4
Wayne County,1,4,5,4,5,2,8,3,4,4,3,3,1,4,3,2,2,1,7,3
West Midlands,4,5,5,1,5,7,0,1,7,4,3,8,5,4,1,2,4,2,9,4
