id,label,type,industry,region,country,revenue,employees,ai_score,tier,tech_stack
ENT-00001,BrightStar Systems,company,Janitorial & Facilities Maintenance,Solano County,US,$25M–$50M,16–30,89,Tier 1 — Immediate Target,"Oracle ERP, Workday, Tableau"
ENT-00002,CleanPro Services,company,Janitorial & Facilities Maintenance,Sacramento County,US,$25M–$50M,16–30,62,Tier 4 — Watch List,"Custom legacy system, Excel-heavy"
ENT-00003,Pristine Industries,company,Janitorial & Facilities Maintenance,West Midlands,UK,$25M–$50M,6–15,76,Tier 2 — 30-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00004,Elite Janitorial Partners,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$50M–$100M,751–1500,67,Tier 2 — 30-Day Pipeline,"Custom legacy system, Excel-heavy"
ENT-00005,ProClean Inc.,company,Janitorial & Facilities Maintenance,Calgary Region,CA,$50K–$250K,31–75,71,Tier 2 — 30-Day Pipeline,"QuickBooks, Google Workspace, Jobber"
ENT-00006,Stellar Maintenance Inc.,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$250K–$500K,751–1500,87,Tier 3 — 90-Day Pipeline,"QuickBooks Desktop, email-only CRM"
ENT-00007,ProClean LLC,company,Janitorial & Facilities Maintenance,Maricopa County,US,$500K–$1M,1–5,90,Tier 4 — Watch List,"FieldEdge, QuickBooks Online"
ENT-00008,Premier Facilities Consulting,company,Janitorial & Facilities Maintenance,Marin County,US,$25M–$50M,751–1500,69,Tier 2 — 30-Day Pipeline,"Sage 50, Outlook, Teams"
ENT-00009,Elite Janitorial LLC,company,Janitorial & Facilities Maintenance,Wayne County,US,$500K–$1M,76–150,49,Tier 2 — 30-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00010,ProClean Co.,company,Janitorial & Facilities Maintenance,Harris County,US,$10M–$25M,151–300,99,Tier 4 — Watch List,"Oracle ERP, Workday, Tableau"
ENT-00011,Apex Clean Partners,company,Janitorial & Facilities Maintenance,Sonoma County,US,$2.5M–$5M,76–150,44,Tier 3 — 90-Day Pipeline,"Paper-based, minimal digital"
ENT-00012,CleanPro Group,company,Janitorial & Facilities Maintenance,West Midlands,UK,$10M–$25M,76–150,41,Tier 4 — Watch List,"Custom legacy system, Excel-heavy"
ENT-00013,Stellar Maintenance Solutions,company,Janitorial & Facilities Maintenance,Maricopa County,US,$250K–$500K,751–1500,99,Tier 4 — Watch List,"Oracle ERP, Workday, Tableau"
ENT-00014,Premier Facilities Group,company,Janitorial & Facilities Maintenance,Los Angeles County,US,$1M–$2.5M,76–150,76,Tier 2 — 30-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00015,ProClean Co.,company,Janitorial & Facilities Maintenance,West Midlands,UK,$50K–$250K,1500+,76,Tier 2 — 30-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00016,CleanPro Associates,company,Janitorial & Facilities Maintenance,Metro Vancouver,CA,$10M–$25M,151–300,43,Tier 3 — 90-Day Pipeline,"QuickBooks, Google Workspace, Jobber"
ENT-00017,Premier Facilities Corp.,company,Janitorial & Facilities Maintenance,Cuyahoga County,US,$100M+,31–75,74,Tier 2 — 30-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00018,Spotless LLC,company,Janitorial & Facilities Maintenance,Marin County,US,$5M–$10M,301–750,96,Tier 3 — 90-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00019,Apex Clean Systems,company,Janitorial & Facilities Maintenance,Miami-Dade County,US,$2.5M–$5M,751–1500,97,Tier 3 — 90-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00020,Stellar Maintenance LLC,company,Janitorial & Facilities Maintenance,Solano County,US,$100M+,301–750,73,Tier 4 — Watch List,"BuilderTrend, Procore, DocuSign"
ENT-00021,CleanPro Consulting,company,Janitorial & Facilities Maintenance,Greater Melbourne,AU,$50M–$100M,1500+,72,Tier 2 — 30-Day Pipeline,"NetSuite, Zendesk, Asana"
ENT-00022,Apex Clean Corp.,company,Janitorial & Facilities Maintenance,West Midlands,UK,$25M–$50M,31–75,69,Tier 1 — Immediate Target,"Xero, HubSpot, Slack"
ENT-00023,ProClean Co.,company,Janitorial & Facilities Maintenance,Cuyahoga County,US,$1M–$2.5M,76–150,97,Tier 4 — Watch List,"FieldEdge, QuickBooks Online"
ENT-00024,CleanPro Solutions,company,Janitorial & Facilities Maintenance,San Diego County,US,$50K–$250K,751–1500,80,Tier 3 — 90-Day Pipeline,"Custom legacy system, Excel-heavy"
ENT-00025,Stellar Maintenance Corp.,company,Janitorial & Facilities Maintenance,Greater Sydney,AU,$2.5M–$5M,76–150,58,Tier 3 — 90-Day Pipeline,"QuickBooks Desktop, email-only CRM"
ENT-00026,Spotless Solutions,company,Janitorial & Facilities Maintenance,Cook County,US,$50K–$250K,6–15,93,Tier 4 — Watch List,"BuilderTrend, Procore, DocuSign"
ENT-00027,Pristine Group,company,Janitorial & Facilities Maintenance,Napa County,US,$10M–$25M,151–300,58,Tier 4 — Watch List,"Verizon Connect, Samsara GPS, Excel"
ENT-00028,CleanPro Services,company,Janitorial & Facilities Maintenance,San Diego County,US,$10M–$25M,76–150,98,Tier 1 — Immediate Target,"FieldEdge, QuickBooks Online"
ENT-00029,CleanPro Inc.,company,Janitorial & Facilities Maintenance,King County,US,$2.5M–$5M,76–150,53,Tier 2 — 30-Day Pipeline,"Microsoft 365, Dynamics 365, Power BI"
ENT-00030,Stellar Maintenance Co.,company,Janitorial & Facilities Maintenance,Calgary Region,CA,$500K–$1M,751–1500,70,Tier 3 — 90-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00031,CleanPro Enterprises,company,Janitorial & Facilities Maintenance,Cook County,US,$5M–$10M,751–1500,64,Tier 3 — 90-Day Pipeline,"FieldEdge, QuickBooks Online"
ENT-00032,Pristine Group,company,Janitorial & Facilities Maintenance,Metro Vancouver,CA,$5M–$10M,1–5,78,Tier 3 — 90-Day Pipeline,"Verizon Connect, Samsara GPS, Excel"
ENT-00033,Pristine Services,company,Janitorial & Facilities Maintenance,Cook County,US,$25M–$50M,1500+,76,Tier 2 — 30-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00034,ProClean Systems,company,Janitorial & Facilities Maintenance,West Midlands,UK,$10M–$25M,76–150,89,Tier 1 — Immediate Target,"FieldEdge, QuickBooks Online"
ENT-00035,Elite Janitorial Partners,company,Janitorial & Facilities Maintenance,Greater Melbourne,AU,$100M+,16–30,99,Tier 3 — 90-Day Pipeline,"NetSuite, Zendesk, Asana"
ENT-00036,Elite Janitorial Co.,company,Janitorial & Facilities Maintenance,Miami-Dade County,US,$5M–$10M,31–75,86,Tier 1 — Immediate Target,"QuickBooks, Google Workspace, Jobber"
ENT-00037,ProClean Associates,company,Janitorial & Facilities Maintenance,Miami-Dade County,US,$10M–$25M,31–75,76,Tier 3 — 90-Day Pipeline,"FieldEdge, QuickBooks Online"
ENT-00038,Spotless Enterprises,company,Janitorial & Facilities Maintenance,San Francisco County,US,$50M–$100M,1–5,49,Tier 1 — Immediate Target,"Zoho CRM, FreshBooks, Trello"
ENT-00039,Spotless Corp.,company,Janitorial & Facilities Maintenance,Sacramento County,US,$250K–$500K,301–750,95,Tier 1 — Immediate Target,"FieldEdge, QuickBooks Online"
ENT-00040,Pristine Industries,company,Janitorial & Facilities Maintenance,Miami-Dade County,US,$100M+,751–1500,81,Tier 4 — Watch List,"Microsoft 365, Dynamics 365, Power BI"
ENT-00041,CleanPro Systems,company,Janitorial & Facilities Maintenance,Maricopa County,US,$10M–$25M,751–1500,62,Tier 4 — Watch List,"Oracle ERP, Workday, Tableau"
ENT-00042,ProClean Consulting,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$50K–$250K,6–15,47,Tier 1 — Immediate Target,"QuickBooks, Google Workspace, Jobber"
ENT-00043,Apex Clean Corp.,company,Janitorial & Facilities Maintenance,Los Angeles County,US,$100M+,301–750,50,Tier 1 — Immediate Target,"Sage 50, Outlook, Teams"
ENT-00044,Stellar Maintenance Services,company,Janitorial & Facilities Maintenance,Wayne County,US,$5M–$10M,151–300,97,Tier 4 — Watch List,"Microsoft 365, Dynamics 365, Power BI"
ENT-00045,Stellar Maintenance Systems,company,Janitorial & Facilities Maintenance,Maricopa County,US,$50K–$250K,751–1500,76,Tier 3 — 90-Day Pipeline,"Microsoft 365, Dynamics 365, Power BI"
ENT-00046,ProClean Corp.,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$100M+,16–30,88,Tier 4 — Watch List,"Zoho CRM, FreshBooks, Trello"
ENT-00047,Apex Clean Corp.,company,Janitorial & Facilities Maintenance,Sonoma County,US,$50M–$100M,6–15,59,Tier 1 — Immediate Target,"QuickBooks Desktop, email-only CRM"
ENT-00048,BrightStar Enterprises,company,Janitorial & Facilities Maintenance,Greater Melbourne,AU,$1M–$2.5M,76–150,68,Tier 3 — 90-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00049,Elite Janitorial Group,company,Janitorial & Facilities Maintenance,Greater Sydney,AU,$1M–$2.5M,151–300,97,Tier 4 — Watch List,"Verizon Connect, Samsara GPS, Excel"
ENT-00050,Stellar Maintenance Inc.,company,Janitorial & Facilities Maintenance,Solano County,US,$50K–$250K,751–1500,57,Tier 2 — 30-Day Pipeline,"QuickBooks, Google Workspace, Jobber"
ENT-00051,Stellar Maintenance Consulting,company,Janitorial & Facilities Maintenance,Harris County,US,$50M–$100M,151–300,52,Tier 1 — Immediate Target,"BuilderTrend, Procore, DocuSign"
ENT-00052,ProClean Consulting,company,Janitorial & Facilities Maintenance,Denver County,US,$50M–$100M,1500+,51,Tier 4 — Watch List,"BuilderTrend, Procore, DocuSign"
ENT-00053,Elite Janitorial Corp.,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$500K–$1M,16–30,93,Tier 3 — 90-Day Pipeline,"Verizon Connect, Samsara GPS, Excel"
ENT-00054,Elite Janitorial Partners,company,Janitorial & Facilities Maintenance,Napa County,US,$500K–$1M,751–1500,70,Tier 3 — 90-Day Pipeline,"BuilderTrend, Procore, DocuSign"
ENT-00055,ProClean Partners,company,Janitorial & Facilities Maintenance,Orange County,US,$50M–$100M,301–750,57,Tier 4 — Watch List,"Microsoft 365, Dynamics 365, Power BI"
ENT-00056,Premier Facilities Consulting,company,Janitorial & Facilities Maintenance,Alameda County,US,$1M–$2.5M,1–5,45,Tier 4 — Watch List,"SAP, Salesforce, ServiceNow"
ENT-00057,Spotless Enterprises,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$500K–$1M,16–30,88,Tier 3 — 90-Day Pipeline,"QuickBooks, Google Workspace, Jobber"
ENT-00058,CleanPro Systems,company,Janitorial & Facilities Maintenance,West Midlands,UK,$5M–$10M,151–300,66,Tier 3 — 90-Day Pipeline,"BuilderTrend, Procore, DocuSign"
ENT-00059,Apex Clean LLC,company,Janitorial & Facilities Maintenance,Alameda County,US,$250K–$500K,6–15,95,Tier 1 — Immediate Target,"Paper-based, minimal digital"
ENT-00060,Apex Clean Solutions,company,Janitorial & Facilities Maintenance,Sonoma County,US,$2.5M–$5M,751–1500,94,Tier 2 — 30-Day Pipeline,"NetSuite, Zendesk, Asana"
ENT-00061,Apex Clean Associates,company,Janitorial & Facilities Maintenance,Greater Toronto Area,CA,$500K–$1M,1500+,73,Tier 1 — Immediate Target,"Xero, HubSpot, Slack"
