source,target,relationship_type,weight,operational_dependency_level,recurring_revenue_relevance,monetization_potential,contract_value,renewal_date,prime_pathwy_priority
VENDOR-Manpower_Group,AGENCY-AusTender_—_Australian_Go,vendor_to_agency,0.916,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-08-01,CRITICAL — Bid Now
VENDOR-Kforce_Inc.,AGENCY-Solano_County_—_Purchasin,vendor_to_agency,0.66,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-12-27,MEDIUM — 60-Day Pipeline
VENDOR-Xerox_Corporation,AGENCY-Province_of_British_Colum,vendor_to_agency,0.9,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-11-11,CRITICAL — Bid Now
VENDOR-Pitney_Bowes_Inc.,AGENCY-Los_Angeles_Unified_Schoo,vendor_to_agency,0.92,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-05-30,HIGH — Prepare in 30 Days
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-California_Department_of_,vendor_to_agency,0.664,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-07-07,CRITICAL — Bid Now
VENDOR-Sodexo_USA,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.684,High,High,Direct — Contract Displacement,"$25,000,000+",2027-12-01,HIGH — Prepare in 30 Days
VENDOR-Booz_Allen_Hamilton,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.779,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-02-07,HIGH — Prepare in 30 Days
VENDOR-ManTech_International,AGENCY-Victorian_Government_—_Te,vendor_to_agency,0.909,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-07-18,WATCH — 90+ Days
VENDOR-Stericycle_Inc.,AGENCY-Queensland_Government_—_Q,vendor_to_agency,0.857,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-03-04,MEDIUM — 60-Day Pipeline
VENDOR-AECOM_Technology_Corp.,AGENCY-Department_of_Transportat,vendor_to_agency,0.646,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-08-29,WATCH — 90+ Days
VENDOR-Jani-King_International,AGENCY-City_of_Sydney_—_Procurem,vendor_to_agency,0.949,High,High,Direct — Contract Displacement,"$150,000–$300,000",2026-12-10,MEDIUM — 60-Day Pipeline
VENDOR-Recall_Holdings,AGENCY-Social_Security_Administr,vendor_to_agency,0.677,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-11-01,MEDIUM — 60-Day Pipeline
VENDOR-Jani-King_International,AGENCY-Greater_Vancouver_Transit,vendor_to_agency,0.758,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-01-01,WATCH — 90+ Days
VENDOR-Xerox_Corporation,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.795,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-04-24,MEDIUM — 60-Day Pipeline
VENDOR-Jani-King_International,AGENCY-City_of_Atlanta_—_Departm,vendor_to_agency,0.875,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-02-03,CRITICAL — Bid Now
VENDOR-Recall_Holdings,AGENCY-Crown_Commercial_Service_,vendor_to_agency,0.926,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2028-05-13,HIGH — Prepare in 30 Days
VENDOR-G4S_Secure_Solutions,AGENCY-Public_Services_and_Procu,vendor_to_agency,0.724,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-04-13,CRITICAL — Bid Now
VENDOR-Sodexo_USA,AGENCY-Bay_Area_Rapid_Transit_B,vendor_to_agency,0.87,High,High,Direct — Contract Displacement,"$25,000–$75,000",2026-09-19,MEDIUM — 60-Day Pipeline
VENDOR-Adecco_Group,AGENCY-City_of_Benicia_—_Finance,vendor_to_agency,0.606,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-08-20,MEDIUM — 60-Day Pipeline
VENDOR-Regional_Service_Provider,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.733,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-03-02,MEDIUM — 60-Day Pipeline
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-Highways_England_Nationa,vendor_to_agency,0.948,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2028-02-15,HIGH — Prepare in 30 Days
VENDOR-Kforce_Inc.,AGENCY-General_Services_Administ,vendor_to_agency,0.689,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-09-12,CRITICAL — Bid Now
VENDOR-Manpower_Group,AGENCY-California_Department_of_,vendor_to_agency,0.88,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2028-02-14,HIGH — Prepare in 30 Days
VENDOR-Waste_Management_Inc.,AGENCY-General_Services_Administ,vendor_to_agency,0.765,High,High,Direct — Contract Displacement,"$25,000,000+",2027-01-02,CRITICAL — Bid Now
VENDOR-Republic_Services_Inc.,AGENCY-Port_of_Los_Angeles,vendor_to_agency,0.894,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-08-02,WATCH — 90+ Days
VENDOR-AECOM_Technology_Corp.,AGENCY-California_Department_of_,vendor_to_agency,0.756,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-01-27,MEDIUM — 60-Day Pipeline
VENDOR-Aramark_Corporation,AGENCY-California_Department_of_,vendor_to_agency,0.737,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-04-18,MEDIUM — 60-Day Pipeline
