Region,Metric,AI & Automation Consulting,Accounting & Financial Services,Commercial Hauling & Debris Removal,Construction & General Contracting,Electrical Contracting,Environmental Compliance & Remediation,Fleet Logistics & Transportation,HVAC & Mechanical Services,Healthcare Facility Services,IT Infrastructure & Managed Services,Industrial Painting & Coatings,Janitorial & Facilities Maintenance,Landscaping & Grounds Maintenance,Legal & Compliance Services,Marketing & Digital Services,Pest Control & Sanitation,Plumbing & Water Systems,Records Management & Digitization,Security Services & Guard Staffing,Staffing & Workforce Solutions
Alameda County,Entity Count,5,3,5,4,6,3,6,5,4,3,5,4,4,1,3,3,3,5,2,4
Alameda County,Avg AI Score,72.2,85.0,71.6,72.5,62.7,63.0,68.0,68.4,68.5,63.3,79.0,74.2,61.2,95.0,67.3,62.7,56.0,69.8,68.5,72.2
Calgary Region,Entity Count,1,5,3,3,8,7,2,7,4,8,2,2,2,2,2,5,5,1,4,2
Calgary Region,Avg AI Score,71.0,64.2,47.0,74.0,68.4,75.3,53.0,65.7,65.8,65.5,54.0,70.5,89.5,54.5,60.5,66.6,72.0,68.0,63.0,57.0
Contra Costa County,Entity Count,3,8,3,3,2,5,1,6,7,6,5,8,4,8,1,3,2,6,6,3
Contra Costa County,Avg AI Score,76.3,75.4,63.3,61.0,80.0,65.4,43.0,63.0,63.4,63.5,73.2,75.0,73.5,60.1,89.0,65.3,82.0,67.2,62.3,63.3
Cook County,Entity Count,3,7,3,0,7,2,3,3,5,4,3,4,6,3,5,3,4,5,3,4
Cook County,Avg AI Score,81.7,72.3,57.7,0,72.0,66.5,69.7,77.7,58.0,69.0,64.7,79.8,83.5,83.3,79.2,68.7,63.2,57.2,69.3,63.5
Cuyahoga County,Entity Count,3,5,7,2,3,2,4,4,4,3,4,5,4,2,1,7,2,3,2,3
Cuyahoga County,Avg AI Score,67.7,63.2,71.1,63.0,60.7,50.0,82.8,67.0,68.0,66.7,62.2,77.0,68.5,83.0,81.0,64.9,62.0,62.0,52.0,61.3
Denver County,Entity Count,4,3,4,2,1,8,2,2,5,3,3,4,6,1,2,7,4,5,7,7
Denver County,Avg AI Score,71.5,76.7,61.8,51.0,79.0,63.9,72.0,77.0,77.2,64.0,65.3,53.0,81.8,90.0,79.5,66.6,73.8,76.8,67.4,62.4
Fulton County,Entity Count,5,5,6,2,4,4,2,3,5,8,4,1,3,6,5,5,5,6,1,7
Fulton County,Avg AI Score,70.4,66.2,69.5,86.5,74.5,61.8,92.0,65.3,67.0,64.9,69.0,66.0,82.3,75.5,68.0,71.8,62.4,57.8,99.0,57.4
Greater London,Entity Count,2,6,4,7,2,5,4,1,2,3,0,1,3,3,4,5,4,4,3,2
Greater London,Avg AI Score,81.5,81.7,70.0,65.9,80.5,71.2,57.8,61.0,81.0,75.7,0,47.0,59.3,62.3,60.8,71.2,56.0,87.5,51.7,67.5
Greater Melbourne,Entity Count,4,5,3,0,4,4,3,3,1,4,4,5,2,5,7,0,3,5,4,3
Greater Melbourne,Avg AI Score,54.0,72.6,68.7,0,60.5,60.0,78.0,60.0,43.0,66.5,73.2,73.4,75.0,68.2,66.4,0,74.7,56.6,76.5,71.7
