procurement_id,issuing_agency,agency_type,agency_location,country,contract_title,contract_category,naics_code,estimated_contract_value,incumbent_vendor,contract_duration,bid_open_date,bid_close_date,renewal_date,last_award_date,submission_requirements,procurement_portal,contact_email,contact_phone,vendor_dependencies,operational_weakness,automation_opportunity,recurring_revenue_potential,prime_pathwy_priority,data_date,source
PROC-00001,AusTender — Australian Government Procurement,Federal,"Canberra, ACT",AU,Uniformed Security Guard Services — AusTender,Security Guard Services,238320,"$25,000–$75,000",Manpower Group,1 Year + 4 Options,2026-07-10,2026-08-08,2027-08-01,2024-12-10,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.tenders.gov.au,austender@finance.gov.au,+61 2 6215 2222,Primary: Manpower Group; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00003,Province of British Columbia — BC Bid,Provincial,"Victoria, BC",CA,Food Services & Catering Contract — Province of British Columbia,Food Services & Catering,541513,"$5,000,000–$10,000,000",Xerox Corporation,5 Years + 2 Options,2026-09-06,2026-11-08,2027-11-11,2026-03-14,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.bcbid.gov.bc.ca,bcbid@gov.bc.ca,+1 (250) 387-7000,Primary: Xerox Corporation; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Manual scheduling of recurring services — automation ROI 300%+,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00005,California Department of Transportation (Caltrans),State,"Sacramento, CA",US,Construction & Facility Renovation Services — California Department of Transportation (Caltrans),Construction & Renovation,561730,"$5,000,000–$10,000,000",Jan-Pro Franchising International,2 Years,2026-09-13,2026-11-01,2027-07-07,2026-05-09,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://dot.ca.gov/programs/construction/contractor-resources,caltrans.contracts@dot.ca.gov,(916) 654-5266,Primary: Jan-Pro Franchising International; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Email-based bid notifications — automated alert system opportunity,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00015,City of Atlanta — Department of Procurement,Municipal,"Atlanta, GA",US,Fleet Maintenance & Vehicle Repair Services — City of Atlanta,Fleet Maintenance & Vehicle Services,561612,"$150,000–$300,000",Jani-King International,1 Year,2026-08-17,2026-07-15,2027-02-03,2025-06-03,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://www.atlantaga.gov/government/departments/procurement,procurement@atlantaga.gov,(404) 330-6182,Primary: Jani-King International; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Email-based bid notifications — automated alert system opportunity,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00017,Public Services and Procurement Canada (PSPC),Federal,"Ottawa, ON",CA,Electrical Maintenance & Repair Services — Public Services and Procurement Canada (PSPC),Electrical Services,561720,"$25,000–$75,000",G4S Secure Solutions,5 Years + 2 Options,2026-09-02,2026-10-08,2028-04-13,2024-10-08,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://buyandsell.gc.ca,pspc.procurement@tpsgc-pwgsc.gc.ca,+1 (800) 811-1148,Primary: G4S Secure Solutions; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00022,General Services Administration (GSA),Federal,"Washington, DC",US,Records Management & Document Digitization Services — General Services Administration (GSA),Records Management & Digitization,493110,"$10,000,000–$25,000,000",Kforce Inc.,1 Year,2026-07-30,2026-07-30,2027-09-12,2025-10-01,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://sam.gov,acquisitions@gsa.gov,(202) 501-0800,Primary: Kforce Inc.; Secondary: Regional subcontractors,Incumbent lacks digital reporting capability — tech upgrade opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00024,General Services Administration (GSA),Federal,"Washington, DC",US,Pest Control & Sanitation Services — General Services Administration (GSA),Pest Control & Sanitation,493110,"$25,000,000+",Waste Management Inc.,3 Years,2026-09-18,2026-10-18,2027-01-02,2026-01-05,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://sam.gov,acquisitions@gsa.gov,(202) 501-0800,Primary: Waste Management Inc.; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Manual scheduling of recurring services — automation ROI 300%+,"$50,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00031,City of Chicago — Department of Procurement Services,Municipal,"Chicago, IL",US,HVAC Maintenance & Mechanical Services — City of Chicago,HVAC & Mechanical Services,561710,"$25,000–$75,000",Stericycle Inc.,1 Year + 4 Options,2026-09-07,2026-09-18,2027-05-28,2025-12-18,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://chicago.gov/city/en/depts/dps.html,dps@cityofchicago.org,(312) 744-4900,Primary: Stericycle Inc.; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Manual scheduling of recurring services — automation ROI 300%+,"$50,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00033,Toronto Transit Commission (TTC) — Procurement,Transit,"Toronto, ON",CA,Facilities Maintenance & Repair Services — Toronto Transit Commission (TTC),Facilities Maintenance & Repair,561612,"$5,000,000–$10,000,000",Republic Services Inc.,3 Years + 2 Options,2026-08-10,2026-11-09,2027-11-21,2024-06-04,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.ttc.ca/doing-business-with-ttc,procurement@ttc.ca,+1 (416) 393-4000,Primary: Republic Services Inc.; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Manual contract renewal tracking — automated renewal system opportunity,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00034,Ministry of Defence (MOD) — Defence Equipment & Support,Federal/Defence,"Bristol, ENG",UK,Pest Control & Sanitation Services — Ministry of Defence (MOD),Pest Control & Sanitation,238320,"$5,000,000–$10,000,000",Coverall Holding Company,3 Years,2026-06-14,2026-09-03,2026-10-24,2025-01-31,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.gov.uk/government/organisations/defence-equipment-and-support,des-procurement@mod.gov.uk,+44 306 770 0000,Primary: Coverall Holding Company; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Manual scheduling of recurring services — automation ROI 300%+,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
