procurement_id,issuing_agency,agency_type,agency_location,country,contract_title,contract_category,naics_code,estimated_contract_value,incumbent_vendor,contract_duration,bid_open_date,bid_close_date,renewal_date,last_award_date,submission_requirements,procurement_portal,contact_email,contact_phone,vendor_dependencies,operational_weakness,automation_opportunity,recurring_revenue_potential,prime_pathwy_priority,data_date,source
PROC-00001,AusTender — Australian Government Procurement,Federal,"Canberra, ACT",AU,Uniformed Security Guard Services — AusTender,Security Guard Services,238320,"$25,000–$75,000",Manpower Group,1 Year + 4 Options,2026-07-10,2026-08-08,2027-08-01,2024-12-10,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.tenders.gov.au,austender@finance.gov.au,+61 2 6215 2222,Primary: Manpower Group; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00003,Province of British Columbia — BC Bid,Provincial,"Victoria, BC",CA,Food Services & Catering Contract — Province of British Columbia,Food Services & Catering,541513,"$5,000,000–$10,000,000",Xerox Corporation,5 Years + 2 Options,2026-09-06,2026-11-08,2027-11-11,2026-03-14,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.bcbid.gov.bc.ca,bcbid@gov.bc.ca,+1 (250) 387-7000,Primary: Xerox Corporation; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Manual scheduling of recurring services — automation ROI 300%+,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00008,Victorian Government — Tenders VIC,State,"Melbourne, VIC",AU,Custodial Services Contract — Victorian Government,Janitorial & Custodial Services,562111,"$5,000,000–$10,000,000",ManTech International,1 Year + 4 Options,2026-08-26,2026-10-04,2027-07-18,2024-08-25,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://www.tenders.vic.gov.au,procurement@dtf.vic.gov.au,+61 3 9651 5111,Primary: ManTech International; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper-based compliance tracking — digitization opportunity worth $50K+/yr,"$5,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00009,Queensland Government — QTenders,State,"Brisbane, QLD",AU,Records Management & Document Digitization Services — Queensland Government,Records Management & Digitization,541512,"$2,500,000–$5,000,000",Stericycle Inc.,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-07-26,2026-08-16,2028-03-04,2024-10-26,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://qtenders.epw.qld.gov.au,procurement@epw.qld.gov.au,+61 7 3224 2111,Primary: Stericycle Inc.; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Email-based bid notifications — automated alert system opportunity,"$10,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00011,City of Sydney — Procurement,Municipal,"Sydney, NSW",AU,Professional Consulting Services — City of Sydney,Consulting & Professional Services,541513,"$150,000–$300,000",Jani-King International,5 Years,2026-09-11,2026-10-24,2026-12-10,2026-02-24,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.cityofsydney.nsw.gov.au/council/doing-business-with-us,procurement@cityofsydney.nsw.gov.au,+61 2 9265 9333,Primary: Jani-King International; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$10,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00013,Greater Vancouver Transit Authority (TransLink),Transit,"Burnaby, BC",CA,Food Services & Catering Contract — Greater Vancouver Transit Authority (TransLink),Food Services & Catering,561730,"$1,000,000–$2,500,000",Jani-King International,3 Years,2026-09-20,2026-11-02,2028-01-01,2026-05-07,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.translink.ca/about-translink/doing-business-with-translink,procurement@translink.ca,+1 (778) 375-7500,Primary: Jani-King International; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Paper-based compliance tracking — digitization opportunity worth $50K+/yr,"$25,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00016,Crown Commercial Service (CCS),Central Government,"Liverpool, ENG",UK,Professional Consulting Services — Crown Commercial Service (CCS),Consulting & Professional Services,541512,"$10,000,000–$25,000,000",Recall Holdings,1 Year,2026-07-16,2026-11-19,2028-05-13,2025-10-02,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://www.crowncommercial.gov.uk,info@crowncommercial.gov.uk,+44 345 410 2222,Primary: Recall Holdings; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$15,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00017,Public Services and Procurement Canada (PSPC),Federal,"Ottawa, ON",CA,Electrical Maintenance & Repair Services — Public Services and Procurement Canada (PSPC),Electrical Services,561720,"$25,000–$75,000",G4S Secure Solutions,5 Years + 2 Options,2026-09-02,2026-10-08,2028-04-13,2024-10-08,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://buyandsell.gc.ca,pspc.procurement@tpsgc-pwgsc.gc.ca,+1 (800) 811-1148,Primary: G4S Secure Solutions; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00021,Highways England (National Highways),Infrastructure,"Birmingham, ENG",UK,Pest Control & Sanitation Services — Highways England (National Highways),Pest Control & Sanitation,562111,"$5,000,000–$10,000,000",Jan-Pro Franchising International,1 Year + 4 Options,2026-06-28,2026-11-14,2028-02-15,2024-08-09,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://nationalhighways.co.uk/industry-information/procurement/,procurement@nationalhighways.co.uk,+44 300 123 5000,Primary: Jan-Pro Franchising International; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Spreadsheet-based vendor management — CRM integration opportunity,"$10,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00033,Toronto Transit Commission (TTC) — Procurement,Transit,"Toronto, ON",CA,Facilities Maintenance & Repair Services — Toronto Transit Commission (TTC),Facilities Maintenance & Repair,561612,"$5,000,000–$10,000,000",Republic Services Inc.,3 Years + 2 Options,2026-08-10,2026-11-09,2027-11-21,2024-06-04,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.ttc.ca/doing-business-with-ttc,procurement@ttc.ca,+1 (416) 393-4000,Primary: Republic Services Inc.; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Manual contract renewal tracking — automated renewal system opportunity,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
