procurement_id,issuing_agency,agency_type,agency_location,country,contract_title,contract_category,naics_code,estimated_contract_value,incumbent_vendor,contract_duration,bid_open_date,bid_close_date,renewal_date,last_award_date,submission_requirements,procurement_portal,contact_email,contact_phone,vendor_dependencies,operational_weakness,automation_opportunity,recurring_revenue_potential,prime_pathwy_priority,data_date,source
PROC-00002,Solano County — Purchasing Services,County,"Fairfield, CA",US,Professional Consulting Services — Solano County,Consulting & Professional Services,493110,"$75,000–$150,000",Kforce Inc.,3 Years,2026-09-10,2026-11-10,2026-12-27,2024-11-15,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.solanocounty.com/depts/csa/purchasing/,purchasing@solanocounty.com,(707) 784-6100,Primary: Kforce Inc.; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Manual scheduling of recurring services — automation ROI 300%+,"$5,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00004,Los Angeles Unified School District (LAUSD),School District,"Los Angeles, CA",US,Public Works & Infrastructure Maintenance — Los Angeles Unified School District (LAUSD),Public Works & Infrastructure,561730,"$1,000,000–$2,500,000",Pitney Bowes Inc.,1 Year + 4 Options,2026-07-18,2026-09-15,2027-05-30,2025-05-23,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://achieve.lausd.net/Page/1068,procurement@lausd.net,(213) 241-1000,Primary: Pitney Bowes Inc.; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$50,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00005,California Department of Transportation (Caltrans),State,"Sacramento, CA",US,Construction & Facility Renovation Services — California Department of Transportation (Caltrans),Construction & Renovation,561730,"$5,000,000–$10,000,000",Jan-Pro Franchising International,2 Years,2026-09-13,2026-11-01,2027-07-07,2026-05-09,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://dot.ca.gov/programs/construction/contractor-resources,caltrans.contracts@dot.ca.gov,(916) 654-5266,Primary: Jan-Pro Franchising International; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Email-based bid notifications — automated alert system opportunity,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00006,San Francisco Municipal Transportation Agency (SFMTA),Transit Authority,"San Francisco, CA",US,Fleet Maintenance & Vehicle Repair Services — San Francisco Municipal Transportation Agency (SFMTA),Fleet Maintenance & Vehicle Services,541513,"$25,000,000+",Sodexo USA,5 Years,2026-07-25,2026-10-05,2027-12-01,2025-03-22,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.sfmta.com/about-sfmta/procurement,procurement@sfmta.com,(415) 701-4500,Primary: Sodexo USA; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$50,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00018,Bay Area Rapid Transit (BART),Transit Authority,"Oakland, CA",US,Debris Removal & Waste Hauling Services — Bay Area Rapid Transit (BART),Debris Removal & Waste Management,484110,"$25,000–$75,000",Sodexo USA,3 Years + 2 Options,2026-09-13,2026-11-25,2026-09-19,2024-08-24,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://www.bart.gov/about/business/bids,procurement@bart.gov,(510) 464-6000,Primary: Sodexo USA; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Paper timesheets — digital workforce management opportunity,"$2,500/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00019,City of Benicia — Finance Department,Municipal,"Benicia, CA",US,Food Services & Catering Contract — City of Benicia,Food Services & Catering,562111,"$500,000–$1,000,000",Adecco Group,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-08-09,2026-10-03,2027-08-20,2026-03-26,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://procurement.opengov.com/portal/embed/beniciaca/project-list,JTschudi@ci.benicia.ca.us,(707) 746-4225,Primary: Adecco Group; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$5,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00023,California Department of General Services (DGS),State,"Sacramento, CA",US,Uniformed Security Guard Services — California Department of General Services (DGS),Security Guard Services,561720,"$5,000,000–$10,000,000",Manpower Group,5 Years + 2 Options,2026-08-04,2026-11-13,2028-02-14,2024-08-29,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://www.dgs.ca.gov/PD,dgs.procurement@dgs.ca.gov,(916) 376-5000,Primary: Manpower Group; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$2,500/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00025,Port of Los Angeles,Port Authority,"Los Angeles, CA",US,Pest Control & Sanitation Services — Port of Los Angeles,Pest Control & Sanitation,238320,"$2,500,000–$5,000,000",Republic Services Inc.,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-07-17,2026-11-14,2027-08-02,2025-12-13,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.portoflosangeles.org/business/procurement,procurement@portla.org,(310) 732-3508,Primary: Republic Services Inc.; Secondary: Regional subcontractors,Incumbent pricing 30%+ above market — cost reduction opportunity,Paper timesheets — digital workforce management opportunity,"$25,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00026,California Department of Transportation (Caltrans),State,"Sacramento, CA",US,Environmental Compliance & Remediation Services — California Department of Transportation (Caltrans),Environmental Compliance Services,561710,"$5,000,000–$10,000,000",AECOM Technology Corp.,5 Years + 2 Options,2026-08-10,2026-07-26,2027-01-27,2025-07-10,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://dot.ca.gov/programs/construction/contractor-resources,caltrans.contracts@dot.ca.gov,(916) 654-5266,Primary: AECOM Technology Corp.; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Manual contract renewal tracking — automated renewal system opportunity,"$5,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00027,California Department of General Services (DGS),State,"Sacramento, CA",US,Records Management & Document Digitization Services — California Department of General Services (DGS),Records Management & Digitization,541512,"$1,000,000–$2,500,000",Aramark Corporation,2 Years,2026-08-20,2026-07-13,2027-04-18,2025-02-22,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.dgs.ca.gov/PD,dgs.procurement@dgs.ca.gov,(916) 376-5000,Primary: Aramark Corporation; Secondary: Regional subcontractors,Incumbent pricing 30%+ above market — cost reduction opportunity,Email-based bid notifications — automated alert system opportunity,"$10,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
