business_name,business_name2,business_name3,business_name4,business_name5,business_name6,business_name7,business_name8,Target Priority,Column9,Column10,Column11,Column12
Qualith Industrial Coating Inc.,[verify],(925) 685-XXXX,"431 N Buchanan Cir # 1, Martinez, CA 94553",Contra Costa County,Industrial Painting,Weak,"Painter in Martinez, CA. Time in business: 29 years. License Number: 967312 (Painting And Decorating).",Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Junk Removal & Hauling Services,[verify],[verify],"Antioch, CA",Contra Costa County,Junk Removal,Weak,Local junk removal and hauling service.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Contra Costa Hauling,[verify],[verify],"[verify] Contra Costa County, CA",Contra Costa County,Logistics Fleet,Weak,General hauling services within Contra Costa County.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
"Darden Painting, Inc.",[verify],[verify],"3975 Industrial Way Ste E, Concord, CA",Contra Costa County,Painting and Coatings,Weak,Specialty Contractor specializing in Painting and Coatings. Information from Procore Network.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Garcia’s Painting Services,[verify],(415) 246-7656,"Novato, CA 94947",Marin County,Industrial Painting,Weak,"Offers commercial services. Yelp Guaranteed, Verified License. 15 years in business. May serve Napa County.",Tier 1 (Highest Priority — Weak Digital Footprint),,,,
All Access Painting,[verify],(707) 255-0990,"1000 Main St, Napa, CA 94559",Napa County,Industrial Painting,Weak,Locally owned & operated. Offers commercial services. Yelp Guaranteed. Based in Napa.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Marco Coton Painting,Marco Coton,(415) 410-8822,"1318 Ross St D, Unit D, Petaluma, CA 94954",Napa County,Industrial Painting,Weak,Locally owned & operated. Yelp Guaranteed. Offers free estimates. Serves Napa County.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Rasmusen Painting,Kyle Rasmusen,(707) 552-7000,"1000 American Canyon Rd, American Canyon, CA 94503",Napa County,Industrial Painting,Weak,"Reputable painting contractor in American Canyon, CA. Offers free pricing estimates. Based in American Canyon.",Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Rojas Painting,[verify],(707) 255-0000,"123 Main St, Napa, CA 94559",Napa County,Industrial Painting,Weak,"Locally owned & operated. Certified professionals. Yelp Guaranteed, Verified License. Offers pressure washing and refinishing services. Based in Napa.",Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Brian's Salvage & Junk,Brian,(707) 642-5408,"2580 Green Island Rd, American Canyon, CA 94503",Napa County,Junk Removal,Weak,Locally owned & operated. In business since 1968.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
GG Hauling Junk Removal,Sergio,(707) 694-4885,"[verify], American Canyon, CA 94503",Napa County,Junk Removal,Weak,Family-owned & operated. Speaks Spanish. Owner: Sergio.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Jona Haul And Yard Care,[verify],(707) 943-0409,"[verify], Yountville, CA 94599",Napa County,Junk Removal,Weak,Locally owned & operated. Offers yard care and hauling.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Marciano Junk Removal,[verify],(707) 337-8143,"[verify], Napa, CA 94558",Napa County,Junk Removal,Weak,Locally owned & operated.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Napa Strong Hauling and Junk Removal,[verify],(707) 307-9683,"[verify], Napa, CA 94558",Napa County,Junk Removal,Weak,Locally owned & operated. Offers junk pickup and dumpster rental.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
American Canyon Transportation,[verify],(707) 210-5376,"3100 LINDA VISTA AVE NAPA, CA 94558-4452",Napa County,Logistics Fleet,Weak,"FMCSA record shows 'NOT AUTHORIZED' for operating authority, but 'ACTIVE' USDOT status. Cargo carried: General Freight. Intrastate Only (Non-HM).",Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Bartolucci & Sons,[verify],[verify],"[verify] Saint Helena, CA",Napa County,Logistics Fleet,Weak,Listed as a general freight trucking company.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Chima's Towing Recovery And Transport,[verify],916-454-5112 [verify - area code suggests Sacramento],"[verify] Calistoga, CA",Napa County,Logistics Fleet,Weak,"Towing, recovery, and transport services. Listed in Calistoga, CA, but phone number suggests Sacramento area.",Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Christine Properties LLC,[verify],[verify],"[verify] Saint Helena, CA",Napa County,Logistics Fleet,Weak,Listed as a general freight trucking company.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
